NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
6,Município,40,Mil Reais,179581,1100130,Machadinho D'Oeste - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,18957,1100130,Machadinho D'Oeste - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100148,Nova Brasilândia D'Oeste - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,35159,1100148,Nova Brasilândia D'Oeste - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,3578,1100148,Nova Brasilândia D'Oeste - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100155,Ouro Preto do Oeste - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,32629,1100155,Ouro Preto do Oeste - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,4169,1100155,Ouro Preto do Oeste - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100189,Pimenta Bueno - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,54432,1100189,Pimenta Bueno - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,6399,1100189,Pimenta Bueno - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100205,Porto Velho - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,636618,1100205,Porto Velho - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,60557,1100205,Porto Velho - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100254,Presidente Médici - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,3450,1100254,Presidente Médici - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,292,1100254,Presidente Médici - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100262,Rio Crespo - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,430727,1100262,Rio Crespo - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,45751,1100262,Rio Crespo - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100288,Rolim de Moura - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,82373,1100288,Rolim de Moura - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,9703,1100288,Rolim de Moura - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100296,Santa Luzia D'Oeste - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,87016,1100296,Santa Luzia D'Oeste - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,9659,1100296,Santa Luzia D'Oeste - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100304,Vilhena - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,922283,1100304,Vilhena - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,88914,1100304,Vilhena - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100320,São Miguel do Guaporé - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,332495,1100320,São Miguel do Guaporé - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,49141,1100320,São Miguel do Guaporé - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100338,Nova Mamoré - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,90256,1100338,Nova Mamoré - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,12862,1100338,Nova Mamoré - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100346,Alvorada D'Oeste - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,17088,1100346,Alvorada D'Oeste - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,1387,1100346,Alvorada D'Oeste - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100379,Alto Alegre dos Parecis - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,55694,1100379,Alto Alegre dos Parecis - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,6811,1100379,Alto Alegre dos Parecis - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100403,Alto Paraíso - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,283840,1100403,Alto Paraíso - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,27046,1100403,Alto Paraíso - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100452,Buritis - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,23770,1100452,Buritis - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,2131,1100452,Buritis - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100502,Novo Horizonte do Oeste - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,34372,1100502,Novo Horizonte do Oeste - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,3966,1100502,Novo Horizonte do Oeste - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100601,Cacaulândia - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,2733,1100601,Cacaulândia - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,90,1100601,Cacaulândia - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100700,Campo Novo de Rondônia - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,22183,1100700,Campo Novo de Rondônia - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,1192,1100700,Campo Novo de Rondônia - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100809,Candeias do Jamari - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,342498,1100809,Candeias do Jamari - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,46819,1100809,Candeias do Jamari - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100908,Castanheiras - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,59441,1100908,Castanheiras - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,6886,1100908,Castanheiras - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100924,Chupinguaia - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,633823,1100924,Chupinguaia - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,70757,1100924,Chupinguaia - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1100940,Cujubim - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,227246,1100940,Cujubim - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,25044,1100940,Cujubim - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101005,Governador Jorge Teixeira - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,23388,1101005,Governador Jorge Teixeira - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,464,1101005,Governador Jorge Teixeira - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101104,Itapuã do Oeste - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,197670,1101104,Itapuã do Oeste - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,25163,1101104,Itapuã do Oeste - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101203,Ministro Andreazza - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,3384,1101203,Ministro Andreazza - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,505,1101203,Ministro Andreazza - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101302,Mirante da Serra - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,24235,1101302,Mirante da Serra - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,2963,1101302,Mirante da Serra - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101401,Monte Negro - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,25560,1101401,Monte Negro - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,573,1101401,Monte Negro - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101435,Nova União - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,3006,1101435,Nova União - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,393,1101435,Nova União - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101450,Parecis - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,42028,1101450,Parecis - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,5538,1101450,Parecis - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101468,Pimenteiras do Oeste - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,700589,1101468,Pimenteiras do Oeste - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,87426,1101468,Pimenteiras do Oeste - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101476,Primavera de Rondônia - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,21267,1101476,Primavera de Rondônia - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,2254,1101476,Primavera de Rondônia - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101484,São Felipe D'Oeste - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,34467,1101484,São Felipe D'Oeste - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,4796,1101484,São Felipe D'Oeste - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101492,São Francisco do Guaporé - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,68741,1101492,São Francisco do Guaporé - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,10941,1101492,São Francisco do Guaporé - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101500,Seringueiras - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,94436,1101500,Seringueiras - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,12658,1101500,Seringueiras - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101559,Teixeirópolis - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,4890,1101559,Teixeirópolis - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,160,1101559,Teixeirópolis - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101609,Theobroma - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,30118,1101609,Theobroma - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,2642,1101609,Theobroma - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101708,Urupá - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,4137,1101708,Urupá - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,287,1101708,Urupá - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101757,Vale do Anari - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,47474,1101757,Vale do Anari - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,4186,1101757,Vale do Anari - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1101807,Vale do Paraíso - RO,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,1713,1101807,Vale do Paraíso - RO,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,153,1101807,Vale do Paraíso - RO,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200013,Acrelândia - AC,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,11455,1200013,Acrelândia - AC,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,1960,1200013,Acrelândia - AC,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200054,Assis Brasil - AC,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,6951,1200054,Assis Brasil - AC,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,1340,1200054,Assis Brasil - AC,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200104,Brasiléia - AC,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,16963,1200104,Brasiléia - AC,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,3394,1200104,Brasiléia - AC,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200138,Bujari - AC,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,14371,1200138,Bujari - AC,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,2404,1200138,Bujari - AC,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200179,Capixaba - AC,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,52902,1200179,Capixaba - AC,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,6149,1200179,Capixaba - AC,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200203,Cruzeiro do Sul - AC,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,26242,1200203,Cruzeiro do Sul - AC,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,3974,1200203,Cruzeiro do Sul - AC,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200252,Epitaciolândia - AC,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,23846,1200252,Epitaciolândia - AC,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,3446,1200252,Epitaciolândia - AC,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200302,Feijó - AC,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,25198,1200302,Feijó - AC,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,5387,1200302,Feijó - AC,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200328,Jordão - AC,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,6047,1200328,Jordão - AC,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,1111,1200328,Jordão - AC,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200336,Mâncio Lima - AC,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,19233,1200336,Mâncio Lima - AC,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,2955,1200336,Mâncio Lima - AC,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200344,Manoel Urbano - AC,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,5842,1200344,Manoel Urbano - AC,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,1196,1200344,Manoel Urbano - AC,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200351,Marechal Thaumaturgo - AC,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,17688,1200351,Marechal Thaumaturgo - AC,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,3208,1200351,Marechal Thaumaturgo - AC,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200385,Plácido de Castro - AC,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,64675,1200385,Plácido de Castro - AC,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,8374,1200385,Plácido de Castro - AC,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200393,Porto Walter - AC,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,6953,1200393,Porto Walter - AC,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,1267,1200393,Porto Walter - AC,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200401,Rio Branco - AC,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,54841,1200401,Rio Branco - AC,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,6894,1200401,Rio Branco - AC,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200427,Rodrigues Alves - AC,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,17474,1200427,Rodrigues Alves - AC,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,2924,1200427,Rodrigues Alves - AC,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200435,Santa Rosa do Purus - AC,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,4146,1200435,Santa Rosa do Purus - AC,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,703,1200435,Santa Rosa do Purus - AC,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200450,Senador Guiomard - AC,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,42540,1200450,Senador Guiomard - AC,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,5068,1200450,Senador Guiomard - AC,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200500,Sena Madureira - AC,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,23937,1200500,Sena Madureira - AC,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,4404,1200500,Sena Madureira - AC,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200609,Tarauacá - AC,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,28920,1200609,Tarauacá - AC,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,5320,1200609,Tarauacá - AC,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200708,Xapuri - AC,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,29020,1200708,Xapuri - AC,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,4898,1200708,Xapuri - AC,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1200807,Porto Acre - AC,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,29067,1200807,Porto Acre - AC,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,3931,1200807,Porto Acre - AC,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300029,Alvarães - AM,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,60478,1300029,Alvarães - AM,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,5212,1300029,Alvarães - AM,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300060,Amaturá - AM,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,7502,1300060,Amaturá - AM,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,242,1300060,Amaturá - AM,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300086,Anamã - AM,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,1677,1300086,Anamã - AM,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,245,1300086,Anamã - AM,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300102,Anori - AM,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,4106,1300102,Anori - AM,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,482,1300102,Anori - AM,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300144,Apuí - AM,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,15375,1300144,Apuí - AM,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,1374,1300144,Apuí - AM,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300201,Atalaia do Norte - AM,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,7801,1300201,Atalaia do Norte - AM,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,354,1300201,Atalaia do Norte - AM,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300300,Autazes - AM,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,108330,1300300,Autazes - AM,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,5610,1300300,Autazes - AM,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300409,Barcelos - AM,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,796,1300409,Barcelos - AM,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,39,1300409,Barcelos - AM,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300508,Barreirinha - AM,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,1623,1300508,Barreirinha - AM,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,117,1300508,Barreirinha - AM,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300607,Benjamin Constant - AM,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,7673,1300607,Benjamin Constant - AM,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,274,1300607,Benjamin Constant - AM,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300631,Beruri - AM,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,2438,1300631,Beruri - AM,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,321,1300631,Beruri - AM,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300680,Boa Vista do Ramos - AM,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,4857,1300680,Boa Vista do Ramos - AM,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,371,1300680,Boa Vista do Ramos - AM,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300706,Boca do Acre - AM,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,16890,1300706,Boca do Acre - AM,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,1958,1300706,Boca do Acre - AM,2022,2022,216,Área colhida,0,Total
6,Município,1017,Toneladas,..,1300805,Borba - AM,2022,2022,214,Quantidade produzida,0,Total
6,Município,40,Mil Reais,18963,1300805,Borba - AM,2022,2022,215,Valor da produção,0,Total
6,Município,1006,Hectares,1301,1300805,Borba - AM,2022,2022,216,Área colhida,0,Total
